team_name,matches_used,latest_match_date,wins,draws,losses,points,points_per_match,goals_for,goals_against,goal_difference,average_goal_difference,recent_form_score,recent_goal_difference_score,host_advantage_score,is_2026_host
Algeria,20,2026-03-31,14,4,2,46,2.3,43,12,31,1.55,76.67,75.83,0,0
Angola,20,2025-12-29,7,9,4,30,1.5,21,17,4,0.2,50,53.33,0,0
Argentina,20,2026-03-31,14,3,3,45,2.25,43,10,33,1.65,75,77.5,0,0
Australia,20,2026-05-30,11,4,5,37,1.85,36,15,21,1.05,61.67,67.5,0,0
Austria,20,2026-06-01,12,4,4,40,2,45,15,30,1.5,66.67,75,0,0
Belgium,20,2026-03-31,8,6,6,30,1.5,45,23,22,1.1,50,68.33,0,0
Bolivia,20,2026-03-31,8,3,9,27,1.35,21,31,-10,-0.5,45,41.67,0,0
Bosnia and Herzegovina,20,2026-05-29,6,7,7,25,1.25,28,30,-2,-0.1,41.67,48.33,0,0
Brazil,20,2026-05-31,10,6,4,36,1.8,35,17,18,0.9,60,65,0,0
Bulgaria,20,2026-06-01,5,5,10,20,1,22,39,-17,-0.85,33.33,35.83,0,0
Cameroon,20,2026-03-31,11,5,4,38,1.9,27,12,15,0.75,63.33,62.5,0,0
Canada,20,2026-06-01,11,7,2,40,2,30,10,20,1,66.67,66.67,100,1
Cape Verde,20,2026-05-31,9,5,6,32,1.6,28,22,6,0.3,53.33,55,0,0
Chile,20,2026-03-30,6,4,10,22,1.1,23,30,-7,-0.35,36.67,44.17,0,0
China PR,20,2026-03-31,5,5,10,20,1,18,30,-12,-0.6,33.33,40,0,0
Colombia,20,2026-06-01,8,5,7,29,1.45,36,23,13,0.65,48.33,60.83,0,0
Costa Rica,20,2026-06-01,7,8,5,29,1.45,44,30,14,0.7,48.33,61.67,0,0
Croatia,20,2026-03-31,11,5,4,38,1.9,42,21,21,1.05,63.33,67.5,0,0
Cuba,20,2025-10-11,5,4,11,19,0.95,18,41,-23,-1.15,31.67,30.83,0,0
Curaçao,20,2026-05-30,9,6,5,33,1.65,40,21,19,0.95,55,65.83,0,0
Czech Republic,20,2026-05-31,10,6,4,36,1.8,36,24,12,0.6,60,60,0,0
Czechoslovakia,20,1993-11-17,6,8,6,26,1.3,34,26,8,0.4,43.33,56.67,0,0
Denmark,20,2026-03-31,9,6,5,33,1.65,39,22,17,0.85,55,64.17,0,0
DR Congo,20,2026-03-31,14,2,4,44,2.2,29,11,18,0.9,73.33,65,0,0
Ecuador,20,2026-05-30,7,12,1,33,1.65,18,8,10,0.5,55,58.33,0,0
Egypt,20,2026-05-28,11,7,2,40,2,26,11,15,0.75,66.67,62.5,0,0
El Salvador,20,2025-11-18,8,3,9,27,1.35,20,24,-4,-0.2,45,46.67,0,0
England,20,2026-03-31,15,1,4,46,2.3,46,11,35,1.75,76.67,79.17,0,0
France,20,2026-03-29,13,3,4,42,2.1,42,21,21,1.05,70,67.5,0,0
German DR,20,1990-09-12,10,4,6,34,1.7,34,27,7,0.35,56.67,55.83,0,0
Germany,20,2026-05-31,13,3,4,42,2.1,51,21,30,1.5,70,75,0,0
Ghana,20,2026-05-22,7,5,8,26,1.3,30,26,4,0.2,43.33,53.33,0,0
Greece,20,2026-03-31,11,2,7,35,1.75,35,21,14,0.7,58.33,61.67,0,0
Haiti,20,2026-03-31,11,4,5,37,1.85,50,22,28,1.4,61.67,73.33,0,0
Honduras,20,2026-03-31,9,6,5,33,1.65,25,22,3,0.15,55,52.5,0,0
Hungary,20,2026-03-31,6,6,8,24,1.2,20,32,-12,-0.6,40,40,0,0
Iceland,20,2026-05-31,5,4,11,19,0.95,31,39,-8,-0.4,31.67,43.33,0,0
Indonesia,20,2026-03-30,6,5,9,23,1.15,25,30,-5,-0.25,38.33,45.83,0,0
Iran,20,2026-05-29,13,3,4,42,2.1,43,18,25,1.25,70,70.83,0,0
Iraq,20,2026-05-29,9,4,7,31,1.55,20,21,-1,-0.05,51.67,49.17,0,0
Israel,20,2026-03-26,7,3,10,24,1.2,32,42,-10,-0.5,40,41.67,0,0
Italy,20,2026-03-31,11,4,5,37,1.85,42,29,13,0.65,61.67,60.83,0,0
Ivory Coast,20,2026-03-31,14,2,4,44,2.2,40,10,30,1.5,73.33,75,0,0
Jamaica,20,2026-03-31,10,4,6,34,1.7,28,17,11,0.55,56.67,59.17,0,0
Japan,20,2026-05-31,14,3,3,45,2.25,48,8,40,2,75,83.33,0,0
Jordan,20,2026-05-31,8,4,8,28,1.4,33,29,4,0.2,46.67,53.33,0,0
Kuwait,20,2025-12-09,3,8,9,17,0.85,23,39,-16,-0.8,28.33,36.67,0,0
Mexico,20,2026-05-30,11,7,2,40,2,25,13,12,0.6,66.67,60,100,1
Morocco,20,2026-05-26,16,4,0,52,2.6,38,6,32,1.6,86.67,76.67,0,0
Netherlands,20,2026-03-31,10,8,2,38,1.9,51,21,30,1.5,63.33,75,0,0
New Zealand,20,2026-03-30,11,3,6,36,1.8,55,15,40,2,60,83.33,0,0
Nigeria,20,2026-03-31,11,8,1,41,2.05,37,16,21,1.05,68.33,67.5,0,0
North Korea,20,2025-06-10,3,6,11,15,0.75,23,31,-8,-0.4,25,43.33,0,0
Northern Ireland,20,2026-03-31,8,4,8,28,1.4,26,25,1,0.05,46.67,50.83,0,0
Norway,20,2026-06-01,14,3,3,45,2.25,59,19,40,2,75,83.33,0,0
Panama,20,2026-05-31,10,6,4,36,1.8,34,26,8,0.4,60,56.67,0,0
Paraguay,20,2026-03-31,8,5,7,29,1.45,21,22,-1,-0.05,48.33,49.17,0,0
Peru,20,2026-03-31,2,7,11,13,0.65,10,25,-15,-0.75,21.67,37.5,0,0
Poland,20,2026-05-31,9,4,7,31,1.55,31,30,1,0.05,51.67,50.83,0,0
Portugal,20,2026-03-31,11,7,2,40,2,44,18,26,1.3,66.67,71.67,0,0
Qatar,20,2026-05-28,4,6,10,18,0.9,23,39,-16,-0.8,30,36.67,0,0
Republic of Ireland,20,2026-05-28,9,5,6,32,1.6,25,24,1,0.05,53.33,50.83,0,0
Romania,20,2026-03-31,10,3,7,33,1.65,37,24,13,0.65,55,60.83,0,0
Russia,20,2026-05-28,13,5,2,44,2.2,52,12,40,2,73.33,83.33,0,0
Saudi Arabia,20,2026-05-30,8,3,9,27,1.35,21,25,-4,-0.2,45,46.67,0,0
Scotland,20,2026-05-30,9,2,9,29,1.45,30,25,5,0.25,48.33,54.17,0,0
Senegal,20,2026-05-31,14,3,3,45,2.25,47,15,32,1.6,75,76.67,0,0
Serbia,20,2026-05-31,7,6,7,27,1.35,17,24,-7,-0.35,45,44.17,0,0
Slovakia,20,2026-06-01,10,2,8,32,1.6,25,26,-1,-0.05,53.33,49.17,0,0
Slovenia,20,2026-03-31,6,9,5,27,1.35,17,21,-4,-0.2,45,46.67,0,0
South Africa,20,2026-05-29,10,6,4,36,1.8,33,15,18,0.9,60,65,0,0
South Korea,20,2026-05-30,12,5,3,41,2.05,35,19,16,0.8,68.33,63.33,0,0
Spain,20,2026-03-31,14,6,0,48,2.4,53,19,34,1.7,80,78.33,0,0
Sweden,20,2026-06-01,10,3,7,33,1.65,41,30,11,0.55,55,59.17,0,0
Switzerland,20,2026-05-31,8,7,5,31,1.55,40,26,14,0.7,51.67,61.67,0,0
Togo,20,2025-10-13,5,7,8,22,1.1,19,26,-7,-0.35,36.67,44.17,0,0
Trinidad and Tobago,20,2026-05-30,5,8,7,23,1.15,29,35,-6,-0.3,38.33,45,0,0
Tunisia,20,2026-06-01,10,6,4,36,1.8,35,16,19,0.95,60,65.83,0,0
Turkey,20,2026-06-01,13,3,4,42,2.1,41,23,18,0.9,70,65,0,0
Ukraine,20,2026-05-31,9,4,7,31,1.55,27,30,-3,-0.15,51.67,47.5,0,0
United Arab Emirates,20,2025-12-15,7,7,6,28,1.4,29,23,6,0.3,46.67,55,0,0
United States,20,2026-05-31,10,2,8,32,1.6,35,30,5,0.25,53.33,54.17,100,1
Uruguay,20,2026-03-31,5,11,4,26,1.3,17,17,0,0,43.33,50,0,0
Uzbekistan,20,2026-06-01,10,7,3,37,1.85,28,15,13,0.65,61.67,60.83,0,0
Wales,20,2026-03-31,8,7,5,31,1.55,32,25,7,0.35,51.67,55.83,0,0
Yugoslavia,20,1992-03-25,10,4,6,34,1.7,37,22,15,0.75,56.67,62.5,0,0
